,Stkcd,Accper,Annodt,sue_decile,ShortName,Typrep,ue,sue
0,1,2015-12-31,2016-03-10,4.0,平安银行,A,-0.13321299999999991,-1.0104016155976985
1,1,2016-06-30,2016-08-12,3.0,平安银行,A,-0.09372999999999998,-0.6816426077985361
2,1,2016-12-31,2017-03-17,1.0,平安银行,A,-0.11813799999999997,-4.376466978893494
3,1,2017-06-30,2017-08-11,6.0,平安银行,A,0.015259000000000023,0.22725907510458007
4,1,2017-12-31,2018-03-15,6.0,平安银行,A,0.01910299999999976,0.2660856239001111
5,1,2018-06-30,2018-08-16,8.0,平安银行,A,0.047641000000000044,0.642438245143211
6,1,2018-12-31,2019-03-07,10.0,平安银行,A,0.047234,2.69297131605857
7,1,2019-06-30,2019-08-08,10.0,平安银行,A,0.11828799999999995,2.7956391810509165
8,1,2019-12-31,2020-02-14,3.0,平安银行,A,-0.11081499999999989,-1.143903769551125
9,1,2020-06-30,2020-08-28,2.0,平安银行,A,-0.19225400000000004,-1.3511916445882013
10,1,2020-12-31,2021-02-02,8.0,平安银行,A,0.23002599999999995,1.1716426110629263
11,1,2021-06-30,2021-08-20,7.0,平安银行,A,0.20122600000000002,0.9363985280289188
12,1,2021-12-31,2022-03-10,8.0,平安银行,A,0.18051200000000012,0.9065238051713778
13,1,2022-06-30,2022-08-18,10.0,平安银行,A,0.23214499999999993,9.388644811846694
14,1,2022-12-31,2023-03-09,10.0,平安银行,A,0.24090400000000012,8.630691361922283
15,2,2015-12-31,2016-03-14,10.0,万科A,A,0.484664,2.278066289546165
16,2,2016-06-30,2016-08-22,7.0,万科A,A,0.028137999999999996,0.13438112083837492
17,2,2016-12-31,2017-03-27,7.0,万科A,A,0.191994,0.9697206998044949
18,2,2017-06-30,2017-08-25,9.0,万科A,A,0.267988,1.4137761212748552
19,2,2017-12-31,2018-03-27,10.0,万科A,A,0.5344409999999999,2.531688171125563
20,2,2018-06-30,2018-08-21,10.0,万科A,A,0.3142999999999999,2.13686009492572
21,2,2018-12-31,2019-03-26,10.0,万科A,A,0.7785290000000002,3.326359374999626
22,2,2019-06-30,2019-08-21,10.0,万科A,A,0.48140700000000014,2.5067603490029584
23,2,2019-12-31,2020-03-18,5.0,万科A,A,-0.0668410000000006,-0.18954775803701499
24,2,2020-06-30,2020-08-28,5.0,万科A,A,-0.10285999999999995,-0.2389821653327005
25,2,2020-12-31,2021-03-31,8.0,万科A,A,0.32898500000000075,1.1341827161440117
26,2,2021-06-30,2021-08-30,1.0,万科A,A,-0.21137300000000003,-0.895136140201373
27,2,2021-12-31,2022-03-31,1.0,万科A,A,-1.6180410000000003,-1.9162564390728485
28,2,2022-06-30,2022-08-31,7.0,万科A,A,0.16503299999999999,0.18637065545716264
29,2,2022-12-31,2023-03-31,5.0,万科A,A,-0.21112299999999995,-0.26847563533659724
30,4,2015-12-31,2016-04-30,4.0,国农科技,A,-0.213356,-1.0745349414555574
31,4,2016-06-30,2016-08-31,5.0,国农科技,A,-0.016888,-0.09035706147557407
32,4,2016-12-31,2017-04-11,9.0,国农科技,A,0.408178,1.5664058627747344
33,4,2017-06-30,2017-08-31,3.0,国农科技,A,-0.104175,-0.3830346371336107
34,4,2017-12-31,2018-04-28,2.0,国农科技,A,-0.298605,-1.0011533832326098
35,4,2018-06-30,2018-08-25,7.0,国农科技,A,0.08519700000000001,0.2830307249818799
36,4,2018-12-31,2019-04-26,2.0,国农科技,A,-0.412727,-1.881995032283054
37,4,2019-06-30,2019-08-31,3.0,国农科技,A,-0.071023,-0.3173031422520931
38,4,2019-12-31,2020-04-28,8.0,国农科技,A,0.306553,1.013423517597712
39,4,2020-06-30,2020-08-31,8.0,国农科技,A,0.067037,0.22311698674190691
